MEDIAN_WIDTH,SURV_G,TYPE_SIGNAL,K_FACTOR,SURV_D,IS_SAMPLE,SPEED_LIMIT,SURV_E,HORZ_ALIGN,PEAK_CAPACITY,COUNTY_CODE,INTER_ROUTE_NUMBER,TRUCK_ROUTE,BEGIN_LRS,SECTION_ID,PEAK_LANES,WIDE_FEAS,PAVEMENT_TYPE,TURN_LANES_L,ROUTE_NUMBER,SECTION_LENGTH,CURVES_C,SAMPLING_TECH,VSF,LRS_ID,SURV_H,IS_GROUPED,URBAN_CODE,SURV_C,STANDARD_TRAFFIC_CATEGORY,AT_GRADE_OTHER,F_SYSTEM,PEAK_PARKING,AADT,SN_D,TOLL,SURV_I,PSR,ACCESS_CONTROL,YEAR_RECORD,TYPE_FACILITY
0,0,4,16,0,1,25,0,0,343,105,0,0,0.0,417862,1,4,6,4,0,0.13,0.0,0,1.16,0,0,0,371,0,3,1,17,1,4129,3.4,0,0,0.0,3,2004,2
0,0,4,24,0,1,30,0,0,3009,59,0,0,2.57,00067W002570,2,3,4,3,30,0.1,0.0,0,0.67,006700200S00,0,0,0,0,2,1,14,1,8300,2.4,0,0,0.0,3,2004,1
0,0,4,10,0,1,35,0,0,1715,9,0,0,24.752,A188015380,1,4,4,4,188,0.13,0.0,0,0.13,188000,0,0,118,0,2,1,16,3,4200,3.4,0,0,0.0,3,2004,2
16,0,2,8,0,1,50,0,0,4261,65,0,0,0.0,08W564105000,3,5,4,3,0,0.96,0.0,0,0.38,000000W56401,0,0,396,0,8,7,14,3,39463,6.0,0,0,4.0,3,2004,2
36,0,4,12,0,1,65,0,0,1374,25,0,1,107.963,P  21 107963,1,5,4,0,00WYO220,2.302,0.0,0,0.2,0000000P2101,0,0,374,0,2,0,14,3,4120,2.0,0,0,0.0,2,2004,2
0,0,4,9,0,1,25,0,0,2521,3,0,0,0.0,0111R2002300,2,1,4,4,PR 111R,0.124,0.0,0,0.25,0,0,0,376,0,3,2,16,2,6800,3.6,0,0,3.5,3,2004,1
64,0,4,8,0,1,65,0,1,3160,117,0,1,10.46,40000110460,2,5,5,0,400,1.86,0.0,0,0.77,1.1704E+11,0,0,0,0,8,3,2,3,59410,10.0,0,0,4.0,2,2004,2
56,1,4,12,0,1,65,0,0,6248,5,295,1,40.11,00000295QQ71,3,5,5,0,I-295,0.32,0.0,0,0.97,00000295__00,1,0,4,0,5,0,11,3,100911,9.0,0,1,0.0,1,2004,2
0,1,4,10,0,1,55,0,0,1732,163,0,1,26.27,8.20003E+11,1,5,4,4,3,1.35,0.0,0,0.07,300,0,0,0,0,1,1,14,3,2300,3.8,0,0,0.0,2,2004,2
143,0,0,11,0,1,70,0,1,3998,197,70,1,0.0,I07000321996,2,1,5,0,70,5.488,0.0,0,0.27,099I00070000,1,0,0,0,2,0,1,3,17264,12.0,0,0,0.0,1,2004,2
