received_date,Auth_Description,Op_Name,Short Notice Short Notice,Description,Variation Number Variation Number,Service_Type_Other_Details
20/03/20,Dundee City Council,FIFE SCOTTISH OMNIBUSES LTD,Yes,Standard International,6,"Service varied (reduced timetable) due to Covid 19

(Service prior was:Revised timetable.)"
14/02/10,Moray Council,BLUEBIRD BUSES LIMITED,No,Standard International,3,
07/01/10,Strathclyde Partnership for Transport,LOCH LOMOND BUS SERVICES LTD,No,Standard National,1,"Monday to Friday

No service 25, 26 Dec or 1, 2 Jan"
03/06/19,Strathclyde Partnership for Transport,CRAIG OF CAMPBELTOWN LTD,Yes,Standard International,0,Daily
09/01/09,Scottish Borders Council,MIDLAND BLUEBIRD LTD,No,Standard National,0,Monday to Friday only
07/08/06,West Lothian Council,MCGILLâS SCOTLAND EAST LIMITED,No,Standard National,13,"Daily.  This service will not operate 25, 26 December, 1, 2 January, 3, 4 January, when 1 January is a Saturday or Sunday, Sunday service will operate, Good Friday, Easter Monday, May Day Monday Holiday, or any national or public holiday"
06/07/15,Scottish Borders Council,MIDLAND BLUEBIRD LTD,Yes,Standard National,2,Monday to Friday schooldays only
12/05/23,Midlothian Council,BORDERS BUSES LTD,Yes,Standard National,16,Daily
28/09/15,Highland Council,HIGHLAND COUNTRY BUSES LTD,No,Standard National,0,When Pultney Academy is open - one return trip.
12/01/18,The City of Edinburgh Council,LOTHIAN BUSES LIMITED,No,Standard International,28,"Sun service 1/2 Jan.& 26 Dec No service 25 Dec Sat service 3/4 Jan,Good Fri,Easter Mon,Edinburgh local hols & between 27 & 31 Dec.

Revised timetables on all days.  Evening buses now run between Granton and Leith Street only. Sunday daytime buses run be"
06/07/18,North Ayrshire Council,WESTERN BUSES LIMITED,Yes,Standard International,4,"Non chargeable roadworks - normal route resumed on 9th July 2018 or when High Street, Irvine reopens."
29/03/18,West Lothian Council,FIFE SCOTTISH OMNIBUSES LTD,No,Standard International,2,Revised timetable.
24/06/15,Fife Council,FIFE SCOTTISH OMNIBUSES LTD,No,Standard International,0,New service operating on schooldays
15/06/18,East Lothian Council,EAST COAST BUSES LIMITED,No,Standard National,5,Daily
29/08/08,Strathclyde Partnership for Transport,FIRST GLASGOW (NO1) LTD,No,Standard National,0,Monday to Sunday
,,MOFFAT & WILLIAMSON LTD,No,Standard International,0,
11/11/20,The City of Edinburgh Council,BORDERS BUSES LTD,Yes,Standard National,11,Daily
12/08/11,Aberdeen City Council,FIRST ABERDEEN LTD,No,Standard National,8,Monday to Saturday
31/10/07,The City of Edinburgh Council,FIFE SCOTTISH OMNIBUSES LTD,No,Standard International,2,To run on Boxing Day 2004 and on the 2nd of January 2005 and the subsequent dates the years thereafter
31/08/12,Falkirk District Council,MIDLAND BLUEBIRD LTD,No,Standard National,7,Monday to Sunday
06/08/20,Strathclyde Partnership for Transport,WESTERN BUSES LIMITED,Yes,Standard International,12,Service variation due to emergency situation.
04/08/08,Strathclyde Partnership for Transport,FIRST GLASGOW (NO1) LTD,Yes,Standard National,3,"Daily

Service 901X will start with effect from 15th June 2008 

Service 901 will start with effect from 30th June 2008"
07/11/11,Highland Council,HIGHLAND COUNTRY BUSES LTD,Yes,Standard National,0,Fri + Sat hourly frequency
20/08/04,The City of Edinburgh Council,LOTHIAN BUSES LIMITED,No,Standard International,7,"No service 25 & 26 December & 1 & 2 January. Saturday service on 3 & 4 January, Good Friday, Easter Monday, Edinburgh May Day, Victoria Day, Autumn holiday & weekdays between 27 & 31 December."
24/07/06,Highland Council,BLUEBIRD BUSES LIMITED,No,Standard International,1,Monday to Saturday
11/08/20,Aberdeenshire Council,DEVERON COACHES LIMITED,Yes,Standard National,3,Monday to Friday Schooldays only
24/03/20,Fife Council,TAYSIDE PUBLIC TRANSPORT CO LTD,Yes,Standard National,5,Service suspended due to Covid 19
10/08/12,Argyll & Bute Council,SCOTTISH CITYLINK COACHES LTD,No,Standard National,15,"Monday to Sunday

This service will not operate on 25th, 26th Dec & 1st, 2nd Jan."
16/02/23,Scottish Borders Council,WESTERN BUSES LIMITED,No,Standard International,1,"Service Cancelled, Last day of operation 31st March 2023"
28/08/09,Strathclyde Partnership for Transport,FIRST GLASGOW (NO2) LTD,No,Standard National,0,Daily
03/09/10,Strathclyde Partnership for Transport,LOCH LOMOND BUS SERVICES LTD,No,Standard National,2,Mon to Sat - average hourly service
22/12/14,Perth & Kinross Council,STEWART COLIN ROBERTSON & PARTNERS,Yes,Standard National,0,"Tuesday, Wednesday, Friday"
27/03/20,East Ayrshire Council,WESTERN BUSES LIMITED,Yes,Standard International,0,Hourly service Monday - Saturday covering Logan - Craigens in Cumnock
11/05/18,Strathclyde Partnership for Transport,MCGILL'S BUS SERVICE LTD,No,Standard National,1,Monday to Friday
29/07/20,Fife Council,A1 MINIBUS & COACH SERVICES LTD,Yes,Standard National,3,Schooldays only
17/07/03,The City of Edinburgh Council,LOTHIAN BUSES LIMITED,Yes,Standard International,3,Daily.  Hourly 0015 to 0415
22/04/09,Strathclyde Partnership for Transport,WESTERN BUSES LIMITED,No,Standard International,2,Seasonal Daily Mon-Sun Hourly Service
19/11/03,West Lothian Council,MCGILLâS SCOTLAND EAST LIMITED,Yes,Standard National,8,"Daily.  This service will not operate 25, 26 Dec, 1, 2 Jan, 3, 4 Jan, when 1 Jan is a Saturday or Sunday, Sunday service will operate, Good Friday, Easter Monday, May Day, or public holiday, and on similar dates in subsequent years"
04/04/11,East Lothian Council,MCGILLâS SCOTLAND EAST LIMITED,No,Standard National,0,Daily service
31/08/12,The City of Edinburgh Council,LOTHIAN BUSES LIMITED,No,Standard International,22,"No service 25 & 26 December & 1 & 2 January. Saturday service on 3 & 4 January, Good Friday, Easter Monday, Edinburgh May Day, Victoria Day, Autumn holiday & weekdays between 27 & 31 December."
06/05/08,Aberdeenshire Council,BLUEBIRD BUSES LIMITED,No,Standard International,4,
14/03/18,Angus Council,J P MINICOACHES LTD,No,Standard National,0,Schooldays only
24/06/20,Strathclyde Partnership for Transport,SCOTTISH CITYLINK COACHES LTD,Yes,Standard National,29,"Temporary variation, in response to COVID-19 outbreak. Service reduced to one round trip daily
COVID 19 - RETURN TO FULL SERVICE"
19/06/06,West Lothian Council,MCGILLâS SCOTLAND EAST LIMITED,No,Standard National,5,
23/03/18,Aberdeenshire Council,BLUEBIRD BUSES LIMITED,No,Standard International,7,Infrequent service Monday to Friday. No Saturday or Sunday service.
07/07/17,Strathclyde Partnership for Transport,FIRST GLASGOW (NO1) LTD,Yes,Standard National,26,"This service will not operate 25 Dec or 1 Jan. 
Curtailed service to operate 
26 Dec to 2 Jan and all public/local holidays, and on similar dates in subsequent years."
26/05/23,Angus Council,TAYSIDE PUBLIC TRANSPORT CO LTD,No,Standard National,6,"Saturday and Sunday evenings only

Revised Timetable."
30/07/02,Moray Council,KINEIL COACHES LTD,Yes,Standard International,0,Schooldays only
14/07/14,Moray Council,BLUEBIRD BUSES LIMITED,No,Standard International,1,To operate 7/8/14/15/21/24/28/29/31 Dec only
20/02/15,Strathclyde Partnership for Transport,FIRST GLASGOW (NO1) LTD,No,Standard National,23,
21/10/15,Argyll & Bute Council,CRAIG OF CAMPBELTOWN LTD,Yes,Standard International,5,Mon to Sat
04/03/19,Aberdeenshire Council,BLUEBIRD BUSES LIMITED,No,Standard International,25,"Mon - Sat every 12 minutes, Sun 20 minute frequency."
19/07/12,Angus Council,J P MINICOACHES LTD,Yes,Standard National,1,Schooldays only
14/07/10,Cumbria County Council ,TELFORD'S COACHES LTD,No,Standard International,5,Revised timetable.
02/04/20,West Lothian Council,MIDLAND BLUEBIRD LTD,Yes,Standard National,29,Temporary Variation  (in response Covid-19 emergency)
27/03/20,Fife Council,FIFE SCOTTISH OMNIBUSES LTD,Yes,Standard International,2,Temporary suspension due to COVID 19 (service suspended)
29/07/15,Aberdeenshire Council,WATERMILL COACHES LIMITED,Yes,Standard National,1,schooldays only
31/03/20,Argyll & Bute Council,CRAIG OF CAMPBELTOWN LTD,Yes,Standard International,7,"Service varied due to Covid 19

(Service prior was: Monday to Saturday)"
13/09/12,Glasgow City Council,WESTERN BUSES LIMITED,No,Standard International,12,Five extra trips Monday - Saturday (two ex Glasgow & three ex Lesmahagow) and some current trip times moved.
31/05/19,The City of Edinburgh Council,LOTHIAN BUSES LIMITED,No,Standard International,35,"No service 25 & 26 December & 1 & 2 January. Saturday service on 3 & 4 January, Good Friday, Easter Monday, Edinburgh May Day, Victoria Day, Autumn holiday & weekdays between 27 & 31 December."
24/01/05,Angus Council,J P MINICOACHES LTD,Yes,Standard National,1,
01/04/22,Highland Council,HIGHLAND COUNTRY BUSES LTD,Yes,Standard National,4,One return journey Monday to Friday. No Saturday or Sunday operation.
16/07/10,Strathclyde Partnership for Transport,FIRST GLASGOW (NO1) LTD,No,Standard National,11,"This service will not operate 25 Dec or 1 Jan. 
Curtailed service to operate 
26 Dec, 2 Jan and all public/local holidays, and on similar dates in subsequent years."
10/07/15,Midlothian Council,PRENTICE COACHES LTD,Yes,Standard International,1,Mon to Sat
03/05/16,Strathclyde Partnership for Transport,MCGILL'S BUS SERVICE LTD,Yes,Standard National,0,Monday to Friday
,,MCGILL'S BUS SERVICE LTD,No,Standard National,1,
06/01/22,Stirling Council,MIDLAND BLUEBIRD LTD,Yes,Standard National,33,
11/11/11,Highland Council,HIGHLAND COUNTRY BUSES LTD,Yes,Standard National,1,"Mon - Fri one journey every hour approx, Sat 2 journeys per day."
04/02/11,Midlothian Council,LOTHIAN BUSES LIMITED,No,Standard International,20,"Monday to Friday.  This service will not operate on 1, 2 January, Good Friday, Edinburgh Spring Holiday, May Day Holiday, Victoria Day Holiday, Edinburgh Trades Holiday Monday, Edinburgh Autumn Holiday, 25, 26 December"
31/08/12,West Lothian Council,MCGILLâS SCOTLAND EAST LIMITED,No,Standard National,5,Daily service
28/05/12,The City of Edinburgh Council,MCGILLâS SCOTLAND EAST LIMITED,Yes,Standard National,4,"Monday to Saturday
Revised holiday schedule (for days which are not already registered) over Xmas 2011 & New Year 2012 and future years"
27/09/05,The City of Edinburgh Council,FIFE SCOTTISH OMNIBUSES LTD,Yes,Standard International,11,"No service: 25/26 Dec & 1/2 january.ASDOSY.
"
24/07/20,Strathclyde Partnership for Transport,GARELOCHHEAD MINIBUSES & COACHES LTD,Yes,Standard National,6,"Full service resumed 

(Service prior was: Monday to Sunday 90 minute frequency during the day, various in morning and evening.)"
12/03/20,Highland Council,HIGHLAND COUNTRY BUSES LTD,Yes,Standard National,7,Infrequent service Monday to Friday & Saturday
,,WESTERN BUSES LIMITED,No,Standard International,0,
02/03/11,Highland Council,HIGHLAND COUNTRY BUSES LTD,Yes,Standard National,3,Mon - Fri 2 journeys per day. No service Sat + Sun
07/05/19,Scottish Borders Council,BORDERS BUSES LTD,Yes,Standard National,4,Daily
27/07/20,Falkirk District Council,MIDLAND BLUEBIRD LTD,Yes,Standard National,21,"Monday to Sunday
TEMPORARY VARIATION - COVID 19
TEMPORARY VARIATION - COVID 19 - REVISED TIMETABLE
SERVICE RETURNING TO PRE COVID LEVELS"
16/08/18,East Lothian Council,E & M HORSBURGH LTD,No,Standard National,1,Daily hourly service
29/05/13,Angus Council,WISHARTS (FRIOCKHEIM) LTD,Yes,Standard National,0,Wednesday only
30/12/09,Strathclyde Partnership for Transport,FIRST GLASGOW (NO1) LTD,No,Standard National,2,Monday to Sunday Service
15/01/03,Cumbria County Council ,MIDLAND BLUEBIRD LTD,Yes,Standard National,4,Daily.  Hourly frequency or less
21/07/17,The City of Edinburgh Council,LOTHIAN BUSES LIMITED,No,Standard International,14,"Daily (Monday - Sunday) hourly timtetabled Night service.

Riccarton bound journeys start at Leith Street (Omni)"
21/08/15,Strathclyde Partnership for Transport,FIRST GLASGOW (NO1) LTD,No,Standard National,2,Daily
17/12/10,Dumfries & Galloway Council,WESTERN BUSES LIMITED,Yes,Standard International,9,"Service now operating via Carsluith, Blackcraig & Kirkcowan with some timing alterations to suit."
31/10/13,Aberdeen City Council,BLUEBIRD BUSES LIMITED,No,Standard International,0,Boxing Day and 2nd January service only.
10/03/16,Aberdeen City Council,DOUGLAS BAIN,Yes,Standard International,0,Monday to Friday
24/09/07,Western Isles Council,I A & C MACIVER LIMITED,Yes,Standard National,2,Monday to Friday Schooldays only
21/07/15,Midlothian Council,BORDERS BUSES LTD,Yes,Standard National,3,Daily
21/07/09,Strathclyde Partnership for Transport,JAMES LIDDELL,Yes,Standard International,0,Schooldays only
24/05/18,Strathclyde Partnership for Transport,WESTERN BUSES LIMITED,No,Standard International,6,Three trips removed from Sunday tender service - 1949 & 2249 ex Hillfoot Road and 2300 ex Lorne Arcade
19/11/02,The City of Edinburgh Council,LOTHIAN BUSES LIMITED,Yes,Standard International,0,25/26 December 2002 and 1 January 2003 only.
23/05/16,Aberdeenshire Council,BLUEBIRD BUSES LIMITED,Yes,Standard International,0,"Monday to Sunday, one return trip."
28/08/07,Cumbria County Council ,TELFORD'S COACHES LTD,Yes,Standard International,0,School days only
29/10/03,Stirling Council,JOHN MITCHELL,Yes,Standard International,0,"Christmas Park & Ride Service Sat & Sun only 
"
16/05/06,Strathclyde Partnership for Transport,SHUTTLE BUSES LTD,No,Standard National,5,"Daily.  This service will not operate 25, 26 December, 1, 2 January"
06/03/14,Aberdeenshire Council,BLUEBIRD BUSES LIMITED,No,Standard International,5,Half Hourly Monday to Saturday. No Sunday service.
30/12/11,North Lanarkshire Council,WESTERN BUSES LIMITED,No,Standard International,0,Daily return trip serving Edinburgh Zoo.
28/03/13,Strathclyde Partnership for Transport,FIRST GLASGOW (NO1) LTD,Yes,Standard National,2,"School Holiday, Mon-Fri, Sat & Sun"
31/05/19,Strathclyde Partnership for Transport,MCGILL'S BUS SERVICE LTD,No,Standard National,2,Mon to Fri
