REF_DATE,GEO,DGUID,North American Industry Classification System (NAICS),Enterprise size,Advanced technology acquisition,UOM,UOM_ID,SCALAR_FACTOR,SCALAR_ID,VECTOR,Cl,c,STATUS,DEx
2009,Canada,2016A000011124,All surveyed industries,Total enterprises,Purchase,Percent,239,units,0,v80736812,1.1.1.1,83.4,A,1
2009,Canada,2016A000011124,All surveyed industries,Total enterprises,Lease,Percent,239,units,0,v80736813,1.1.1.2,10.1,A,1
2009,Canada,2016A000011124,All surveyed industries,Total enterprises,License,Percent,239,units,0,v80736814,1.1.1.3,12.9,B,1
2009,Canada,2016A000011124,All surveyed industries,Total enterprises,Customize,Percent,239,units,0,v80736815,1.1.1.4,23.0,B,1
2009,Canada,2016A000011124,All surveyed industries,Total enterprises,Develop,Percent,239,units,0,v80736816,1.1.1.5,16.3,B,1
2009,Canada,2016A000011124,All surveyed industries,Total enterprises,Merger or acquisition,Percent,239,units,0,v80736817,1.1.1.6,1.0,A,1
2009,Canada,2016A000011124,All surveyed industries,Small enterprises (20 to 99 employees),Purchase,Percent,239,units,0,v80736818,1.1.2.1,83.9,A,1
2009,Canada,2016A000011124,All surveyed industries,Small enterprises (20 to 99 employees),Lease,Percent,239,units,0,v80736819,1.1.2.2,6.4,A,1
2009,Canada,2016A000011124,All surveyed industries,Small enterprises (20 to 99 employees),License,Percent,239,units,0,v80736820,1.1.2.3,8.7,A,1
2009,Canada,2016A000011124,All surveyed industries,Small enterprises (20 to 99 employees),Customize,Percent,239,units,0,v80736821,1.1.2.4,17.4,A,1
2009,Canada,2016A000011124,All surveyed industries,Small enterprises (20 to 99 employees),Develop,Percent,239,units,0,v80736822,1.1.2.5,13.4,B,1
2009,Canada,2016A000011124,All surveyed industries,Small enterprises (20 to 99 employees),Merger or acquisition,Percent,239,units,0,v80736823,1.1.2.6,0.9,A,1
2009,Canada,2016A000011124,All surveyed industries,Medium-sized enterprises (100 to 249 employees),Purchase,Percent,239,units,0,v80736824,1.1.3.1,84.3,B,1
2009,Canada,2016A000011124,All surveyed industries,Medium-sized enterprises (100 to 249 employees),Lease,Percent,239,units,0,v80736825,1.1.3.2,23.7,E,1
2009,Canada,2016A000011124,All surveyed industries,Medium-sized enterprises (100 to 249 employees),License,Percent,239,units,0,v80736826,1.1.3.3,24.7,E,1
2009,Canada,2016A000011124,All surveyed industries,Medium-sized enterprises (100 to 249 employees),Customize,Percent,239,units,0,v80736827,1.1.3.4,45.5,E,1
2009,Canada,2016A000011124,All surveyed industries,Medium-sized enterprises (100 to 249 employees),Develop,Percent,239,units,0,v80736828,1.1.3.5,28.0,E,1
