REF_DATE REF_DATE,GEO GEO,DGUID DGUID,Type of residential investment Type of residential investment,UOM UOM,UOM_ID UOM_ID,SCALAR_FACTOR SCALAR_FACTOR,SCALAR_ID SCALAR_ID,VECTOR VECTOR,COORDINATE COORDINATE,VALUE VALUE,DECIMALS DECIMALS
1951-01,Canada,2016A000011124,Total residential investment,Dollars,81,thousands,3,v13447,1.1,186706,0
1951-01,Canada,2016A000011124,"New dwellings, all types",Dollars,81,thousands,3,v13448,1.2,169980,0
1951-01,Canada,2016A000011124,Singles,Dollars,81,thousands,3,v13449,1.3,132597,0
1951-01,Canada,2016A000011124,Doubles,Dollars,81,thousands,3,v13450,1.4,17986,0
1951-01,Canada,2016A000011124,Apartments,Dollars,81,thousands,3,v13452,1.6,19397,0
1951-01,Canada,2016A000011124,Conversions,Dollars,81,thousands,3,v13453,1.7,2030,0
1951-01,Canada,2016A000011124,Total acquisition costs,Dollars,81,thousands,3,v13454,1.8,6823,0
1951-01,Canada,2016A000011124,Renovations,Dollars,81,thousands,3,v13455,1.9,7873,0
1951-04,Canada,2016A000011124,Total residential investment,Dollars,81,thousands,3,v13447,1.1,205059,0
1951-04,Canada,2016A000011124,"New dwellings, all types",Dollars,81,thousands,3,v13448,1.2,175372,0
1951-04,Canada,2016A000011124,Singles,Dollars,81,thousands,3,v13449,1.3,135281,0
1951-04,Canada,2016A000011124,Doubles,Dollars,81,thousands,3,v13450,1.4,13393,0
1951-04,Canada,2016A000011124,Apartments,Dollars,81,thousands,3,v13452,1.6,26698,0
1951-04,Canada,2016A000011124,Conversions,Dollars,81,thousands,3,v13453,1.7,2691,0
1951-04,Canada,2016A000011124,Total acquisition costs,Dollars,81,thousands,3,v13454,1.8,6625,0
1951-04,Canada,2016A000011124,Renovations,Dollars,81,thousands,3,v13455,1.9,20371,0
1951-07,Canada,2016A000011124,Total residential investment,Dollars,81,thousands,3,v13447,1.1,230364,0
1951-07,Canada,2016A000011124,"New dwellings, all types",Dollars,81,thousands,3,v13448,1.2,197528,0
1951-07,Canada,2016A000011124,Singles,Dollars,81,thousands,3,v13449,1.3,147629,0
1951-07,Canada,2016A000011124,Doubles,Dollars,81,thousands,3,v13450,1.4,13721,0
1951-07,Canada,2016A000011124,Apartments,Dollars,81,thousands,3,v13452,1.6,36178,0
1951-07,Canada,2016A000011124,Conversions,Dollars,81,thousands,3,v13453,1.7,2175,0
1951-07,Canada,2016A000011124,Total acquisition costs,Dollars,81,thousands,3,v13454,1.8,6596,0
1951-07,Canada,2016A000011124,Renovations,Dollars,81,thousands,3,v13455,1.9,24065,0
1951-10,Canada,2016A000011124,Total residential investment,Dollars,81,thousands,3,v13447,1.1,187096,0
1951-10,Canada,2016A000011124,"New dwellings, all types",Dollars,81,thousands,3,v13448,1.2,157588,0
1951-10,Canada,2016A000011124,Singles,Dollars,81,thousands,3,v13449,1.3,121324,0
1951-10,Canada,2016A000011124,Doubles,Dollars,81,thousands,3,v13450,1.4,9567,0
