cleaned_table_0.csv,cleaned_table_1.csv,cleaned_table_11.csv,cleaned_table_12.csv,cleaned_table_14.csv,cleaned_table_15.csv,cleaned_table_16.csv,cleaned_table_17.csv,cleaned_table_18.csv,cleaned_table_2.csv,cleaned_table_3.csv,cleaned_table_4.csv,cleaned_table_5.csv,cleaned_table_8.csv,cleaned_table_9.csv
1.0,0.59765625,0.01171875,0.01171875,0.02734375,0.0,0.0,0.0,0.0,0.59765625,0.0390625,0.109375,0.03515625,0.0234375,0.0546875
0.59765625,1.0,0.0234375,0.0234375,0.0390625,0.0,0.0,0.0,0.0,1.0,0.046875,0.10546875,0.0390625,0.0390625,0.0546875
0.01171875,0.0234375,1.0,0.98046875,0.0390625,0.0,0.0,0.0,0.0,0.0234375,0.0078125,0.0,0.0,0.0234375,0.08203125
0.01171875,0.0234375,0.98046875,1.0,0.0390625,0.0,0.0,0.0,0.0,0.0234375,0.0078125,0.0,0.0,0.0234375,0.08203125
0.02734375,0.0390625,0.0390625,0.0390625,1.0,0.0,0.0,0.0,0.0,0.0390625,0.00390625,0.0,0.00390625,0.09375,0.015625
0.0,0.0,0.0,0.0,0.0,1.0,0.75,0.015625,0.0078125,0.0,0.00390625,0.0,0.0,0.0,0.00390625
0.0,0.0,0.0,0.0,0.0,0.75,1.0,0.015625,0.0078125,0.0,0.00390625,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.015625,0.015625,1.0,0.88671875,0.0,0.0,0.00390625,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0078125,0.0078125,0.88671875,1.0,0.0,0.0,0.00390625,0.0,0.0,0.0
0.59765625,1.0,0.0234375,0.0234375,0.0390625,0.0,0.0,0.0,0.0,1.0,0.046875,0.10546875,0.0390625,0.0390625,0.0546875
0.0390625,0.046875,0.0078125,0.0078125,0.00390625,0.00390625,0.00390625,0.0,0.0,0.046875,1.0,0.015625,0.06640625,0.00390625,0.0
0.109375,0.10546875,0.0,0.0,0.0,0.0,0.0,0.00390625,0.00390625,0.10546875,0.015625,1.0,0.07421875,0.05859375,0.00390625
0.03515625,0.0390625,0.0,0.0,0.00390625,0.0,0.0,0.0,0.0,0.0390625,0.06640625,0.07421875,1.0,0.01953125,0.01171875
0.0234375,0.0390625,0.0234375,0.0234375,0.09375,0.0,0.0,0.0,0.0,0.0390625,0.00390625,0.05859375,0.01953125,1.0,0.0234375
0.0546875,0.0546875,0.08203125,0.08203125,0.015625,0.00390625,0.0,0.0,0.0,0.0546875,0.0,0.00390625,0.01171875,0.0234375,1.0
