table_0.csv,table_1.csv,table_10.csv,table_11.csv,table_13.csv,table_14.csv,table_15.csv,table_16.csv,table_17.csv,table_2.csv,table_3.csv,table_4.csv,table_5.csv,table_6.csv,table_7.csv,table_8.csv
1.0,0.0625,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05859375,0.0,0.0,0.0,0.0,0.0,0.0
0.0625,1.0,0.0,0.0,0.0,0.0,0.00390625,0.0,0.0,0.6640625,0.0078125,0.0,0.0,0.0,0.0,0.0
0.0,0.0,1.0,1.0,0.046875,0.0390625,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0078125,0.00390625,0.0
0.0,0.0,1.0,1.0,0.046875,0.0390625,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0078125,0.00390625,0.0
0.0,0.0,0.046875,0.046875,1.0,0.0625,0.0,0.0,0.0,0.0,0.0,0.0,0.0546875,0.0703125,0.02734375,0.0
0.0,0.0,0.0390625,0.0390625,0.0625,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00390625,0.01171875,0.0,0.0
0.0,0.00390625,0.0,0.0,0.0,0.0,1.0,0.53125,0.00390625,0.0,0.00390625,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.53125,1.0,0.00390625,0.0,0.0078125,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.00390625,0.00390625,1.0,0.0,0.00390625,0.0,0.0,0.0078125,0.0,0.0
0.05859375,0.6640625,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0078125,0.0,0.0,0.0,0.0,0.0
0.0,0.0078125,0.0,0.0,0.0,0.0,0.00390625,0.0078125,0.00390625,0.0078125,1.0,0.0,0.0,0.00390625,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
0.0,0.0,0.0,0.0,0.0546875,0.00390625,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.16796875,0.0,0.0
0.0,0.0,0.0078125,0.0078125,0.0703125,0.01171875,0.0,0.0,0.0078125,0.0,0.00390625,0.0,0.16796875,1.0,0.0,0.0
0.0,0.0,0.00390625,0.00390625,0.02734375,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
