Dataset 1,Dataset 2,Relation,Column 1,Column 2,Levenshtein Ratio,Jaccard (k=2),Jaccard (k=3),Jaccard (k=4),Jaccard (k=5)
cleaned_table_0.csv,cleaned_table_1.csv,UNION,Bottom Quartile Professional and business fees,Bottom Quartile Professional and business fees,1.0,1.0,1.0,1.0,1.0
cleaned_table_0.csv,cleaned_table_1.csv,UNION,Quality Indicator,Quality Indicator,1.0,1.0,1.0,1.0,1.0
cleaned_table_0.csv,cleaned_table_1.csv,UNION,Quality Indicator,Quality Indicator.1,0.8947368421052632,0.8888888888888888,0.8823529411764706,0.875,0.8666666666666667
cleaned_table_0.csv,cleaned_table_1.csv,UNION,Quality Indicator,Quality Indicator.2,0.8947368421052632,0.8888888888888888,0.8823529411764706,0.875,0.8666666666666667
cleaned_table_0.csv,cleaned_table_1.csv,UNION,Quality Indicator,Quality Indicator.3,0.8947368421052632,0.8888888888888888,0.8823529411764706,0.875,0.8666666666666667
cleaned_table_0.csv,cleaned_table_1.csv,UNION,Quality Indicator,Quality Indicator.4,0.8947368421052632,0.8888888888888888,0.8823529411764706,0.875,0.8666666666666667
cleaned_table_0.csv,cleaned_table_1.csv,UNION,Quality Indicator,Quality Indicator.5,0.8947368421052632,0.8888888888888888,0.8823529411764706,0.875,0.8666666666666667
cleaned_table_0.csv,cleaned_table_1.csv,UNION,Quality Indicator,Quality Indicator.6,0.8947368421052632,0.8888888888888888,0.8823529411764706,0.875,0.8666666666666667
cleaned_table_0.csv,cleaned_table_1.csv,UNION,Quality Indicator,Quality Indicator.7,0.8947368421052632,0.8888888888888888,0.8823529411764706,0.875,0.8666666666666667
cleaned_table_0.csv,cleaned_table_1.csv,UNION,Quality Indicator,Quality Indicator.8,0.8947368421052632,0.8888888888888888,0.8823529411764706,0.875,0.8666666666666667
cleaned_table_0.csv,cleaned_table_1.csv,UNION,Quality Indicator,Quality Indicator.9,0.8947368421052632,0.8888888888888888,0.8823529411764706,0.875,0.8666666666666667
cleaned_table_0.csv,cleaned_table_1.csv,UNION,% of Businesses Reporting,% of Businesses Reporting,1.0,1.0,1.0,1.0,1.0
cleaned_table_0.csv,cleaned_table_1.csv,UNION,% of Businesses Reporting,% of Businesses Reporting.1,0.9259259259259259,0.9166666666666666,0.92,0.9166666666666666,0.9130434782608695
cleaned_table_0.csv,cleaned_table_1.csv,UNION,% of Businesses Reporting,% of Businesses Reporting.2,0.9259259259259259,0.9166666666666666,0.92,0.9166666666666666,0.9130434782608695
cleaned_table_0.csv,cleaned_table_1.csv,UNION,% of Businesses Reporting,% of Businesses Reporting.3,0.9259259259259259,0.9166666666666666,0.92,0.9166666666666666,0.9130434782608695
cleaned_table_0.csv,cleaned_table_1.csv,UNION,% of Businesses Reporting,% of Businesses Reporting.4,0.9259259259259259,0.9166666666666666,0.92,0.9166666666666666,0.9130434782608695
cleaned_table_0.csv,cleaned_table_1.csv,UNION,% of Businesses Reporting,% of Businesses Reporting.5,0.9259259259259259,0.9166666666666666,0.92,0.9166666666666666,0.9130434782608695
cleaned_table_0.csv,cleaned_table_1.csv,UNION,% of Businesses Reporting,% of Businesses Reporting.6,0.9259259259259259,0.9166666666666666,0.92,0.9166666666666666,0.9130434782608695
cleaned_table_0.csv,cleaned_table_1.csv,UNION,% of Businesses Reporting,% of Businesses Reporting.7,0.9259259259259259,0.9166666666666666,0.92,0.9166666666666666,0.9130434782608695
cleaned_table_0.csv,cleaned_table_1.csv,UNION,% of Businesses Reporting,% of Businesses Reporting.8,0.9259259259259259,0.9166666666666666,0.92,0.9166666666666666,0.9130434782608695
cleaned_table_0.csv,cleaned_table_1.csv,UNION,Lower Middle Total expenses,Lower Middle Total expenses,1.0,1.0,1.0,1.0,1.0
cleaned_table_0.csv,cleaned_table_1.csv,UNION,Bottom Quartile Net Profit/Loss,Top Quartile Net Profit/Loss,0.8709677419354839,,,,
cleaned_table_0.csv,cleaned_table_1.csv,UNION,Bottom Quartile Net Profit/Loss,Bottom Quartile Net Profit/Loss,1.0,1.0,1.0,1.0,1.0
cleaned_table_0.csv,cleaned_table_1.csv,UNION,Top Quartile Net Profit/Loss,Top Quartile Net Profit/Loss,1.0,1.0,1.0,1.0,1.0
cleaned_table_0.csv,cleaned_table_1.csv,UNION,Top Quartile Net Profit/Loss,Bottom Quartile Net Profit/Loss,0.8709677419354839,,,,
cleaned_table_0.csv,cleaned_table_1.csv,UNION,Lower Middle Net Profit/Loss,Upper Middle Net Profit/Loss,0.8928571428571429,0.8275862068965517,,,
cleaned_table_0.csv,cleaned_table_1.csv,UNION,Lower Middle Net Profit/Loss,Lower Middle Net Profit/Loss,1.0,1.0,1.0,1.0,1.0
cleaned_table_0.csv,cleaned_table_1.csv,UNION,Top Quartile Operating Expenses (indirect),Bottom Quartile Operating Expenses (indirect),0.9111111111111111,0.8571428571428571,0.8043478260869565,0.8,
cleaned_table_0.csv,cleaned_table_1.csv,UNION,Top Quartile Operating Expenses (indirect),Top Quartile Operating Expenses (indirect),1.0,1.0,1.0,1.0,1.0
cleaned_table_0.csv,cleaned_table_1.csv,UNION,Upper Middle Operating Expenses (indirect),Lower Middle Operating Expenses (indirect),0.9285714285714286,0.875,0.8809523809523809,0.8571428571428571,0.8536585365853658
cleaned_table_0.csv,cleaned_table_1.csv,UNION,% of Businesses Reporting.1,% of Businesses Reporting,0.9259259259259259,0.9166666666666666,0.92,0.9166666666666666,0.9130434782608695
cleaned_table_0.csv,cleaned_table_1.csv,UNION,% of Businesses Reporting.1,% of Businesses Reporting.1,1.0,1.0,1.0,1.0,1.0
cleaned_table_0.csv,cleaned_table_1.csv,UNION,% of Businesses Reporting.1,% of Businesses Reporting.2,0.962962962962963,0.92,0.9230769230769231,0.92,0.9166666666666666
cleaned_table_0.csv,cleaned_table_1.csv,UNION,% of Businesses Reporting.1,% of Businesses Reporting.3,0.962962962962963,0.92,0.9230769230769231,0.92,0.9166666666666666
cleaned_table_0.csv,cleaned_table_1.csv,UNION,% of Businesses Reporting.1,% of Businesses Reporting.4,0.962962962962963,0.92,0.9230769230769231,0.92,0.9166666666666666
cleaned_table_0.csv,cleaned_table_1.csv,UNION,% of Businesses Reporting.1,% of Businesses Reporting.5,0.962962962962963,0.92,0.9230769230769231,0.92,0.9166666666666666
cleaned_table_0.csv,cleaned_table_1.csv,UNION,% of Businesses Reporting.1,% of Businesses Reporting.6,0.962962962962963,0.92,0.9230769230769231,0.92,0.9166666666666666
cleaned_table_0.csv,cleaned_table_1.csv,UNION,% of Businesses Reporting.1,% of Businesses Reporting.7,0.962962962962963,0.92,0.9230769230769231,0.92,0.9166666666666666
cleaned_table_0.csv,cleaned_table_1.csv,UNION,% of Businesses Reporting.1,% of Businesses Reporting.8,0.962962962962963,0.92,0.9230769230769231,0.92,0.9166666666666666
cleaned_table_0.csv,cleaned_table_1.csv,UNION,Bottom Quartile Closing Inventory,Top Quartile Closing Inventory,0.8787878787878788,,,,
cleaned_table_0.csv,cleaned_table_1.csv,UNION,Bottom Quartile Closing Inventory,Bottom Quartile Closing Inventory,1.0,1.0,1.0,1.0,1.0
cleaned_table_0.csv,cleaned_table_1.csv,UNION,"Top Quartile Purchases, materials and sub-contracts","Top Quartile Purchases, materials and sub-contracts",1.0,1.0,1.0,1.0,1.0
cleaned_table_0.csv,cleaned_table_1.csv,UNION,Lower Middle Amortization and depletion,Lower Middle Amortization and depletion,1.0,1.0,1.0,1.0,1.0
cleaned_table_0.csv,cleaned_table_1.csv,UNION,Lower Middle Amortization and depletion,Upper Middle Amortization and depletion,0.9230769230769231,0.8285714285714286,0.8421052631578947,0.8421052631578947,0.8421052631578947
cleaned_table_0.csv,cleaned_table_1.csv,UNION,% of Businesses Reporting.2,% of Businesses Reporting,0.9259259259259259,0.9166666666666666,0.92,0.9166666666666666,0.9130434782608695
cleaned_table_0.csv,cleaned_table_1.csv,UNION,% of Businesses Reporting.2,% of Businesses Reporting.1,0.962962962962963,0.92,0.9230769230769231,0.92,0.9166666666666666
cleaned_table_0.csv,cleaned_table_1.csv,UNION,% of Businesses Reporting.2,% of Businesses Reporting.2,1.0,1.0,1.0,1.0,1.0
cleaned_table_0.csv,cleaned_table_1.csv,UNION,% of Businesses Reporting.2,% of Businesses Reporting.3,0.962962962962963,0.92,0.9230769230769231,0.92,0.9166666666666666
cleaned_table_0.csv,cleaned_table_1.csv,UNION,% of Businesses Reporting.2,% of Businesses Reporting.4,0.962962962962963,0.92,0.9230769230769231,0.92,0.9166666666666666
cleaned_table_0.csv,cleaned_table_1.csv,UNION,% of Businesses Reporting.2,% of Businesses Reporting.5,0.962962962962963,0.92,0.9230769230769231,0.92,0.9166666666666666
cleaned_table_0.csv,cleaned_table_1.csv,UNION,% of Businesses Reporting.2,% of Businesses Reporting.6,0.962962962962963,0.92,0.9230769230769231,0.92,0.9166666666666666
