cleaned_table_0.csv,cleaned_table_1.csv,cleaned_table_11.csv,cleaned_table_12.csv,cleaned_table_14.csv,cleaned_table_15.csv,cleaned_table_16.csv,cleaned_table_17.csv,cleaned_table_18.csv,cleaned_table_2.csv,cleaned_table_3.csv,cleaned_table_4.csv,cleaned_table_5.csv,cleaned_table_8.csv,cleaned_table_9.csv
1.0,0.49609375,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.49609375,0.0,0.0,0.0,0.0078125,0.0
0.49609375,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0234375,0.0
0.0,0.0,1.0,0.9375,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.9375,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.00390625,0.01171875,0.078125,0.0,0.0
0.0,0.0,0.0,0.0,0.0,1.0,0.78515625,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.78515625,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.83203125,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.83203125,1.0,0.0,0.0,0.0,0.0,0.0,0.0
0.49609375,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0234375,0.0
0.0,0.0,0.0,0.0,0.00390625,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.1328125,0.0,0.0
0.0,0.0,0.0,0.0,0.01171875,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.14453125,0.0,0.0
0.0,0.0,0.0,0.0,0.078125,0.0,0.0,0.0,0.0,0.0,0.1328125,0.14453125,1.0,0.0,0.0
0.0078125,0.0234375,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0234375,0.0,0.0,0.0,1.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
