Dataset 1,Column 1,Similar Column 1,Similar Column 2,Similar Column 3
cleaned_table_0.csv,Bottom Quartile Professional and business fees,"Table cleaned_table_1.csv, Column 43, Overlap: 271","Table cleaned_table_1.csv, Column 31, Overlap: 271","Table cleaned_table_2.csv, Column 43, Overlap: 271"
cleaned_table_0.csv,Quality Indicator,"Table cleaned_table_2.csv, Column 32, Overlap: 4","Table cleaned_table_2.csv, Column 38, Overlap: 4","Table cleaned_table_2.csv, Column 41, Overlap: 4"
cleaned_table_0.csv,% of Businesses Reporting,"Table cleaned_table_2.csv, Column 7, Overlap: 381","Table cleaned_table_1.csv, Column 7, Overlap: 381","Table cleaned_table_1.csv, Column 52, Overlap: 378"
cleaned_table_0.csv,"Purchases, materials and sub-contracts","Table cleaned_table_1.csv, Column 15, Overlap: 2737","Table cleaned_table_2.csv, Column 15, Overlap: 2737","Table cleaned_table_1.csv, Column 4, Overlap: 2431"
cleaned_table_0.csv,Lower Middle Total expenses,"Table cleaned_table_2.csv, Column 10, Overlap: 2874","Table cleaned_table_1.csv, Column 10, Overlap: 2874","Table cleaned_table_1.csv, Column 15, Overlap: 2655"
cleaned_table_0.csv,Bottom Quartile Net Profit/Loss,"Table cleaned_table_2.csv, Column 25, Overlap: 911","Table cleaned_table_1.csv, Column 25, Overlap: 911","Table cleaned_table_1.csv, Column 27, Overlap: 770"
cleaned_table_0.csv,Top Quartile Net Profit/Loss,"Table cleaned_table_2.csv, Column 7, Overlap: 2928","Table cleaned_table_1.csv, Column 7, Overlap: 2928","Table cleaned_table_1.csv, Column 15, Overlap: 2404"
cleaned_table_0.csv,Lower Middle Net Profit/Loss,"Table cleaned_table_2.csv, Column 27, Overlap: 1246","Table cleaned_table_1.csv, Column 27, Overlap: 1246","Table cleaned_table_2.csv, Column 11, Overlap: 1089"
cleaned_table_0.csv,Top Quartile Operating Expenses (indirect),"Table cleaned_table_2.csv, Column 23, Overlap: 4628","Table cleaned_table_1.csv, Column 23, Overlap: 4628","Table cleaned_table_1.csv, Column 4, Overlap: 2573"
cleaned_table_0.csv,Upper Middle Other expenses,"Table cleaned_table_2.csv, Column 10, Overlap: 1379","Table cleaned_table_1.csv, Column 10, Overlap: 1379","Table cleaned_table_1.csv, Column 22, Overlap: 1369"
cleaned_table_0.csv,Upper Middle Operating Expenses (indirect),"Table cleaned_table_1.csv, Column 15, Overlap: 3006","Table cleaned_table_2.csv, Column 15, Overlap: 3006","Table cleaned_table_2.csv, Column 10, Overlap: 2597"
cleaned_table_0.csv,Bottom Quartile Interest and bank charges,"Table cleaned_table_1.csv, Column 17, Overlap: 204","Table cleaned_table_2.csv, Column 17, Overlap: 204","Table cleaned_table_1.csv, Column 4, Overlap: 203"
cleaned_table_0.csv,% of Businesses Reporting.1,"Table cleaned_table_1.csv, Column 56, Overlap: 657","Table cleaned_table_2.csv, Column 56, Overlap: 657","Table cleaned_table_1.csv, Column 11, Overlap: 654"
cleaned_table_0.csv,Bottom Quartile Closing Inventory,"Table cleaned_table_1.csv, Column 33, Overlap: 600","Table cleaned_table_2.csv, Column 33, Overlap: 600","Table cleaned_table_2.csv, Column 35, Overlap: 596"
cleaned_table_0.csv,"Top Quartile Purchases, materials and sub-contracts","Table cleaned_table_1.csv, Column 4, Overlap: 4086","Table cleaned_table_2.csv, Column 4, Overlap: 4086","Table cleaned_table_2.csv, Column 23, Overlap: 2611"
cleaned_table_0.csv,Lower Middle Amortization and depletion,"Table cleaned_table_2.csv, Column 35, Overlap: 505","Table cleaned_table_2.csv, Column 14, Overlap: 505","Table cleaned_table_1.csv, Column 33, Overlap: 505"
cleaned_table_0.csv,% of Businesses Reporting.2,"Table cleaned_table_1.csv, Column 55, Overlap: 82","Table cleaned_table_1.csv, Column 22, Overlap: 82","Table cleaned_table_1.csv, Column 52, Overlap: 82"
cleaned_table_0.csv,Quality Indicator.1,"Table cleaned_table_2.csv, Column 32, Overlap: 4","Table cleaned_table_2.csv, Column 38, Overlap: 4","Table cleaned_table_2.csv, Column 41, Overlap: 4"
