Dataset 1,Dataset 2,Relation,Column 1,Column 2,Set Containment
cleaned_table_0.csv,cleaned_table_1.csv,JOIN,Bottom Quartile Professional and business fees,Lower Middle Amortization and depletion,0.8832116788321168
cleaned_table_0.csv,cleaned_table_1.csv,JOIN,Bottom Quartile Professional and business fees,Bottom Quartile Operating Expenses (indirect),0.916058394160584
cleaned_table_0.csv,cleaned_table_1.csv,JOIN,Bottom Quartile Professional and business fees,"Top Quartile Purchases, materials and sub-contracts",0.9744525547445255
cleaned_table_0.csv,cleaned_table_1.csv,JOIN,Bottom Quartile Professional and business fees,Lower Middle Utilities and telephone/telecommunication,0.8467153284671532
cleaned_table_0.csv,cleaned_table_1.csv,JOIN,Bottom Quartile Professional and business fees,Upper Middle Amortization and depletion,0.9379562043795621
cleaned_table_0.csv,cleaned_table_1.csv,JOIN,Bottom Quartile Professional and business fees,Lower Middle Total expenses,0.8357664233576643
cleaned_table_0.csv,cleaned_table_1.csv,JOIN,Bottom Quartile Professional and business fees,Upper Middle Net Profit/Loss,0.9598540145985401
cleaned_table_0.csv,cleaned_table_1.csv,JOIN,Bottom Quartile Professional and business fees,Advertising and promotion,0.8686131386861314
cleaned_table_0.csv,cleaned_table_1.csv,JOIN,Bottom Quartile Professional and business fees,Wages and Benefits,0.9854014598540146
cleaned_table_0.csv,cleaned_table_1.csv,JOIN,Bottom Quartile Professional and business fees,Upper Middle Opening Inventory,0.9708029197080292
cleaned_table_0.csv,cleaned_table_1.csv,JOIN,Bottom Quartile Professional and business fees,Opening Inventory,0.9854014598540146
cleaned_table_0.csv,cleaned_table_1.csv,JOIN,Bottom Quartile Professional and business fees,Top Quartile Cost of Sales,0.9671532846715328
cleaned_table_0.csv,cleaned_table_1.csv,JOIN,Bottom Quartile Professional and business fees,Rent,0.9416058394160584
cleaned_table_0.csv,cleaned_table_1.csv,JOIN,Bottom Quartile Professional and business fees,Upper Middle Wages and Benefits,0.948905109489051
cleaned_table_0.csv,cleaned_table_1.csv,JOIN,Bottom Quartile Professional and business fees,Top Quartile Other expenses,0.8321167883211679
cleaned_table_0.csv,cleaned_table_1.csv,JOIN,Bottom Quartile Professional and business fees,Bottom Quartile Net Profit/Loss,0.9087591240875912
cleaned_table_0.csv,cleaned_table_1.csv,JOIN,Bottom Quartile Professional and business fees,Lower Middle Opening Inventory,0.9343065693430657
cleaned_table_0.csv,cleaned_table_1.csv,JOIN,Bottom Quartile Professional and business fees,Lower Middle Net Profit/Loss,0.9452554744525548
