Dataset 1,Dataset 2,Relation,Column 1,Column 2,Set Containment
table_0.csv,table_1.csv,JOIN,"Bottom Quartile Professional and business fees
Quart inférieur Intérêts et frais bancaires","['Lower Middle Amortization and depletion\n2e quart Amortissement et tarissement💀'
 'Lower Middle Amortization and depletion\n2e quart Amortissement et tarissement🫶']",0.8832116788321168
table_0.csv,table_1.csv,JOIN,"Bottom Quartile Professional and business fees
Quart inférieur Intérêts et frais bancaires","[""Bottom Quartile Operating Expenses (indirect)\nQuart inférieurs Dépenses d'exploitation (frais indirects)😂""
 ""Bottom Quartile Operating Expenses (indirect)\nQuart inférieurs Dépenses d'exploitation (frais indirects)🙌""]",0.916058394160584
table_0.csv,table_1.csv,JOIN,"Bottom Quartile Professional and business fees
Quart inférieur Intérêts et frais bancaires","['Top Quartile Purchases, materials and sub-contracts\nquart supérieurs Achats, matériaux et sous-traitances🫂'
 'Top Quartile Purchases, materials and sub-contracts\nquart supérieurs Achats, matériaux et sous-traitances👉']",0.9744525547445255
table_0.csv,table_1.csv,JOIN,"Bottom Quartile Professional and business fees
Quart inférieur Intérêts et frais bancaires","['Lower Middle Utilities and telephone/telecommunication\n2e quart Services publics et téléphone / télécommunication🤣'
 'Lower Middle Utilities and telephone/telecommunication\n2e quart Services publics et téléphone / télécommunication😏']",0.8467153284671532
table_0.csv,table_1.csv,JOIN,"Bottom Quartile Professional and business fees
Quart inférieur Intérêts et frais bancaires","['Upper Middle Amortization and depletion\n3e quart Amortissement et tarissement🫂'
 'Upper Middle Amortization and depletion\n3e quart Amortissement et tarissement😊']",0.9379562043795621
table_0.csv,table_1.csv,JOIN,"Bottom Quartile Professional and business fees
Quart inférieur Intérêts et frais bancaires","['Lower Middle Total expenses\n2e quart Dépenses totales✔️'
 'Lower Middle Total expenses\n2e quart Dépenses totales❌']",0.8357664233576643
table_0.csv,table_1.csv,JOIN,"Bottom Quartile Professional and business fees
Quart inférieur Intérêts et frais bancaires","['Upper Middle Net Profit/Loss\n3e quart Bénéfice/perte net🤔'
 'Upper Middle Net Profit/Loss\n3e quart Bénéfice/perte net⭐']",0.9598540145985401
table_0.csv,table_1.csv,JOIN,"Bottom Quartile Professional and business fees
Quart inférieur Intérêts et frais bancaires","['Advertising and promotion\nPublicité et promotion😎'
 'Advertising and promotion\nPublicité et promotion🤔']",0.8686131386861314
table_0.csv,table_1.csv,JOIN,"Bottom Quartile Professional and business fees
Quart inférieur Intérêts et frais bancaires","['Wages and Benefits\nSalaires et avantages sociaux😩'
 'Wages and Benefits\nSalaires et avantages sociaux😭']",0.9854014598540146
table_0.csv,table_1.csv,JOIN,"Bottom Quartile Professional and business fees
Quart inférieur Intérêts et frais bancaires","[""Upper Middle Opening Inventory\n3e quart Stocks d'ouverture💩""
 ""Upper Middle Opening Inventory\n3e quart Stocks d'ouverture😊""]",0.9708029197080292
table_0.csv,table_1.csv,JOIN,"Bottom Quartile Professional and business fees
Quart inférieur Intérêts et frais bancaires","[""Opening Inventory\nStocks d'ouverture💩""
 ""Opening Inventory\nStocks d'ouverture🤣""]",0.9854014598540146
table_0.csv,table_1.csv,JOIN,"Bottom Quartile Professional and business fees
Quart inférieur Intérêts et frais bancaires","['Top Quartile Cost of Sales\nQuart supérieur Coût de ventes (frais direct)😜'
 'Top Quartile Cost of Sales\nQuart supérieur Coût de ventes (frais direct)😎']",0.9671532846715328
table_0.csv,table_1.csv,JOIN,"Bottom Quartile Professional and business fees
Quart inférieur Intérêts et frais bancaires",['Rent\nLocation😇' 'Rent\nLocation👉'],0.9416058394160584
table_0.csv,table_1.csv,JOIN,"Bottom Quartile Professional and business fees
Quart inférieur Intérêts et frais bancaires","['Upper Middle Wages and Benefits\n3e quart Salaires et avantages sociaux😳'
 'Upper Middle Wages and Benefits\n3e quart Salaires et avantages sociaux🤣']",0.948905109489051
table_0.csv,table_1.csv,JOIN,"Bottom Quartile Professional and business fees
Quart inférieur Intérêts et frais bancaires","['Top Quartile Other expenses\nQuart supérieur Autres dépenses🔥'
 'Top Quartile Other expenses\nQuart supérieur Autres dépenses😂']",0.8321167883211679
table_0.csv,table_1.csv,JOIN,"Bottom Quartile Professional and business fees
Quart inférieur Intérêts et frais bancaires","['Bottom Quartile Net Profit/Loss\nquart inférieur Bénéfice/perte net✨'
 'Bottom Quartile Net Profit/Loss\nquart inférieur Bénéfice/perte net🥰']",0.9087591240875912
table_0.csv,table_1.csv,JOIN,"Bottom Quartile Professional and business fees
Quart inférieur Intérêts et frais bancaires","[""Lower Middle Opening Inventory\n2e quart Stocks d'ouverture🥹""
 ""Lower Middle Opening Inventory\n2e quart Stocks d'ouverture🎉""]",0.9343065693430657
table_0.csv,table_1.csv,JOIN,"Bottom Quartile Professional and business fees
Quart inférieur Intérêts et frais bancaires","['Lower Middle Net Profit/Loss\n2e quart Bénéfice/perte net❌'
 'Lower Middle Net Profit/Loss\n2e quart Bénéfice/perte net💩']",0.9452554744525548
table_0.csv,table_1.csv,JOIN,"Bottom Quartile Professional and business fees
Quart inférieur Intérêts et frais bancaires","['Lower Middle Rent\n2e quart Location😩'
 'Lower Middle Rent\n2e quart Location😭']",0.8795620437956204
table_0.csv,table_1.csv,JOIN,"Bottom Quartile Professional and business fees
Quart inférieur Intérêts et frais bancaires","['% of Businesses Reporting\n% des entreprises déclarantes.8😳'
 '% of Businesses Reporting\n% des entreprises déclarantes.8😊']",0.8941605839416058
table_0.csv,table_1.csv,JOIN,"Bottom Quartile Professional and business fees
Quart inférieur Intérêts et frais bancaires","['Top Quartile Wages and Benefits\nQuart supérieur Salaires et avantages sociaux🤯'
 'Top Quartile Wages and Benefits\nQuart supérieur Salaires et avantages sociaux😬']",0.9890510948905109
table_0.csv,table_1.csv,JOIN,"Bottom Quartile Professional and business fees
Quart inférieur Intérêts et frais bancaires","['Lower Middle Cost of Sales\n2e quart Coût de ventes (frais direct)✨'
 'Lower Middle Cost of Sales\n2e quart Coût de ventes (frais direct)⭐']",0.9854014598540146
table_0.csv,table_1.csv,JOIN,"Bottom Quartile Professional and business fees
Quart inférieur Intérêts et frais bancaires","['% of Businesses Reporting\n% des entreprises déclarantes😂'
 '% of Businesses Reporting\n% des entreprises déclarantes💀']",0.9379562043795621
table_0.csv,table_1.csv,JOIN,"Bottom Quartile Professional and business fees
Quart inférieur Intérêts et frais bancaires","['Top Quartile Amortization and depletion\nQuart supérieur Amortissement et tarissement🙌'
 'Top Quartile Amortization and depletion\nQuart supérieur Amortissement et tarissement😩']",0.9854014598540146
table_0.csv,table_1.csv,JOIN,"Bottom Quartile Professional and business fees
Quart inférieur Intérêts et frais bancaires","['% of Businesses Reporting\n% des entreprises déclarantes.11😭'
 '% of Businesses Reporting\n% des entreprises déclarantes.11😡']",0.9306569343065694
table_0.csv,table_1.csv,JOIN,"Bottom Quartile Professional and business fees
Quart inférieur Intérêts et frais bancaires","['Top Quartile Closing Inventory\nQuart supérieurs Stock de fermeture😜'
 'Top Quartile Closing Inventory\nQuart supérieurs Stock de fermeture😜']",0.9890510948905109
table_0.csv,table_1.csv,JOIN,"Bottom Quartile Professional and business fees
Quart inférieur Intérêts et frais bancaires","['Top Quartile Delivery, shipping and warehouse expense\nQuart supérieur Livraison, expédition et entreposage💯'
 'Top Quartile Delivery, shipping and warehouse expense\nQuart supérieur Livraison, expédition et entreposage⭐']",0.864963503649635
table_0.csv,table_1.csv,JOIN,"Bottom Quartile Professional and business fees
Quart inférieur Intérêts et frais bancaires","['Upper Middle Rent\n3e quart Location😍'
 'Upper Middle Rent\n3e quart Location👍']",0.9416058394160584
table_0.csv,table_1.csv,JOIN,"Bottom Quartile Professional and business fees
Quart inférieur Intérêts et frais bancaires","['Bottom Quartile Closing Inventory\nQuart inférieurs Stock de fermeture❤️'
 'Bottom Quartile Closing Inventory\nQuart inférieurs Stock de fermeture🥰']",0.9087591240875912
table_0.csv,table_1.csv,JOIN,"Bottom Quartile Professional and business fees
Quart inférieur Intérêts et frais bancaires","['Lower Middle Wages and Benefits\n2e quart Salaires et avantages sociaux📍'
 'Lower Middle Wages and Benefits\n2e quart Salaires et avantages sociaux👍']",0.8978102189781022
table_0.csv,table_1.csv,JOIN,"Bottom Quartile Professional and business fees
Quart inférieur Intérêts et frais bancaires",['Other expenses\nAutres dépenses💩' 'Other expenses\nAutres dépenses👈'],0.8941605839416058
table_0.csv,table_1.csv,JOIN,"Bottom Quartile Professional and business fees
Quart inférieur Intérêts et frais bancaires","[""Lower Middle Operating Expenses (indirect)\n2e Quart Dépenses d'exploitation (frais indirects)🥰""
 ""Lower Middle Operating Expenses (indirect)\n2e Quart Dépenses d'exploitation (frais indirects)🤔""]",0.864963503649635
table_0.csv,table_1.csv,JOIN,"Bottom Quartile Professional and business fees
Quart inférieur Intérêts et frais bancaires","['% of Businesses Reporting\n% des entreprises déclarantes.2❤️'
 '% of Businesses Reporting\n% des entreprises déclarantes.2😎']",0.948905109489051
table_0.csv,table_1.csv,JOIN,"Bottom Quartile Professional and business fees
Quart inférieur Intérêts et frais bancaires","['Bottom Quartile Professional and business fees\nQuart inférieur Intérêts et frais bancaires❌'
 'Bottom Quartile Professional and business fees\nQuart inférieur Intérêts et frais bancaires🫂']",0.8686131386861314
table_0.csv,table_1.csv,JOIN,"Bottom Quartile Professional and business fees
Quart inférieur Intérêts et frais bancaires","['Lower Middle Labour and Commissions\n2e quart Traitements et commissions👏'
 'Lower Middle Labour and Commissions\n2e quart Traitements et commissions😳']",0.9671532846715328
table_0.csv,table_1.csv,JOIN,"Bottom Quartile Professional and business fees
Quart inférieur Intérêts et frais bancaires","['Upper Middle Utilities and telephone/telecommunication\n3e quart Services publics et téléphone / télécommunication😜'
 'Upper Middle Utilities and telephone/telecommunication\n3e quart Services publics et téléphone / télécommunication✔️']",0.9306569343065694
table_0.csv,table_1.csv,JOIN,"Bottom Quartile Professional and business fees
Quart inférieur Intérêts et frais bancaires","['Top Quartile Insurance\nQuart supérieur Assurances🙏'
 'Top Quartile Insurance\nQuart supérieur Assurances💀']",0.9051094890510949
table_0.csv,table_1.csv,JOIN,"Quality Indicator
Indicateurs de qualité.8","['Quality Indicator\nIndicateurs de qualité.10📍'
 'Quality Indicator\nIndicateurs de qualité.10👏']",1.0
table_0.csv,table_1.csv,JOIN,"Quality Indicator
Indicateurs de qualité.8","['Quality Indicator\nIndicateurs de qualité.9😭'
 'Quality Indicator\nIndicateurs de qualité.9👏']",1.0
table_0.csv,table_1.csv,JOIN,"Quality Indicator
Indicateurs de qualité.8","['Quality Indicator\nIndicateurs de qualité.6😭'
 'Quality Indicator\nIndicateurs de qualité.6😜']",1.0
table_0.csv,table_1.csv,JOIN,"Quality Indicator
Indicateurs de qualité.8","['Quality Indicator\nIndicateurs de qualité.1❤️'
 'Quality Indicator\nIndicateurs de qualité.1❌']",1.0
table_0.csv,table_1.csv,JOIN,"Quality Indicator
Indicateurs de qualité.8","['Quality Indicator\nIndicateurs de qualité.18📍'
 'Quality Indicator\nIndicateurs de qualité.18👉']",1.0
table_0.csv,table_1.csv,JOIN,"Quality Indicator
Indicateurs de qualité.8","['Quality Indicator\nIndicateurs de qualité.8❤️'
 'Quality Indicator\nIndicateurs de qualité.8👉']",1.0
table_0.csv,table_1.csv,JOIN,"Quality Indicator
Indicateurs de qualité.8","['Quality Indicator\nIndicateurs de qualité.13😎'
 'Quality Indicator\nIndicateurs de qualité.13📍']",1.0
table_0.csv,table_1.csv,JOIN,"Quality Indicator
Indicateurs de qualité.8","['Quality Indicator\nIndicateurs de qualité.17💩'
 'Quality Indicator\nIndicateurs de qualité.17💩']",1.0
table_0.csv,table_1.csv,JOIN,"Quality Indicator
Indicateurs de qualité.8","['Quality Indicator\nIndicateurs de qualité.12💩'
 'Quality Indicator\nIndicateurs de qualité.12👍']",1.0
table_0.csv,table_1.csv,JOIN,"Quality Indicator
Indicateurs de qualité.8","['Quality Indicator\nIndicateurs de qualité.14💀'
 'Quality Indicator\nIndicateurs de qualité.14💕']",1.0
table_0.csv,table_1.csv,JOIN,"% of Businesses Reporting
% des entreprises déclarantes.13","[""Bottom Quartile Operating Expenses (indirect)\nQuart inférieurs Dépenses d'exploitation (frais indirects)😂""
 ""Bottom Quartile Operating Expenses (indirect)\nQuart inférieurs Dépenses d'exploitation (frais indirects)🙌""]",0.910761154855643
table_0.csv,table_1.csv,JOIN,"% of Businesses Reporting
% des entreprises déclarantes.13","['Top Quartile Purchases, materials and sub-contracts\nquart supérieurs Achats, matériaux et sous-traitances🫂'
 'Top Quartile Purchases, materials and sub-contracts\nquart supérieurs Achats, matériaux et sous-traitances👉']",0.8608923884514436
table_0.csv,table_1.csv,JOIN,"% of Businesses Reporting
% des entreprises déclarantes.13","['Top Quartile Net Profit/Loss\nQuart supérieur Bénéfice/perte net🫂'
 'Top Quartile Net Profit/Loss\nQuart supérieur Bénéfice/perte net😍']",1.0
table_0.csv,table_1.csv,JOIN,"% of Businesses Reporting
% des entreprises déclarantes.13","['% of Businesses Reporting \n% des entreprises déclarantes😇'
 '% of Businesses Reporting \n% des entreprises déclarantes🥰']",0.952755905511811
table_0.csv,table_1.csv,JOIN,"% of Businesses Reporting
% des entreprises déclarantes.13","['Lower Middle Total expenses\n2e quart Dépenses totales✔️'
 'Lower Middle Total expenses\n2e quart Dépenses totales❌']",0.968503937007874
table_0.csv,table_1.csv,JOIN,"% of Businesses Reporting
% des entreprises déclarantes.13","['Upper Middle Net Profit/Loss\n3e quart Bénéfice/perte net🤔'
 'Upper Middle Net Profit/Loss\n3e quart Bénéfice/perte net⭐']",0.9501312335958005
table_0.csv,table_1.csv,JOIN,"% of Businesses Reporting
% des entreprises déclarantes.13","['Wages and Benefits\nSalaires et avantages sociaux😩'
 'Wages and Benefits\nSalaires et avantages sociaux😭']",0.868766404199475
table_0.csv,table_1.csv,JOIN,"% of Businesses Reporting
% des entreprises déclarantes.13","[""Operating expenses (indirect) \nDépenses d'exploitation (frais indirects)😜""
 ""Operating expenses (indirect) \nDépenses d'exploitation (frais indirects)😊""]",0.84251968503937
table_0.csv,table_1.csv,JOIN,"% of Businesses Reporting
% des entreprises déclarantes.13","[""Upper Middle Opening Inventory\n3e quart Stocks d'ouverture💩""
 ""Upper Middle Opening Inventory\n3e quart Stocks d'ouverture😊""]",0.8083989501312336
table_0.csv,table_1.csv,JOIN,"% of Businesses Reporting
% des entreprises déclarantes.13","[""Opening Inventory\nStocks d'ouverture💩""
 ""Opening Inventory\nStocks d'ouverture🤣""]",0.905511811023622
table_0.csv,table_1.csv,JOIN,"% of Businesses Reporting
% des entreprises déclarantes.13","['Top Quartile Cost of Sales\nQuart supérieur Coût de ventes (frais direct)😜'
 'Top Quartile Cost of Sales\nQuart supérieur Coût de ventes (frais direct)😎']",0.8267716535433071
table_0.csv,table_1.csv,JOIN,"% of Businesses Reporting
% des entreprises déclarantes.13","['Top Quartile Other expenses\nQuart supérieur Autres dépenses🔥'
 'Top Quartile Other expenses\nQuart supérieur Autres dépenses😂']",0.989501312335958
table_0.csv,table_1.csv,JOIN,"% of Businesses Reporting
% des entreprises déclarantes.13","[""Top Quartile Operating Expenses (indirect)\nQuart supérieur Dépenses d'exploitation (frais indirects)😭""
 ""Top Quartile Operating Expenses (indirect)\nQuart supérieur Dépenses d'exploitation (frais indirects)🤔""]",0.868766404199475
table_0.csv,table_1.csv,JOIN,"% of Businesses Reporting
% des entreprises déclarantes.13","['% of Businesses Reporting\n% des entreprises déclarantes.13👏'
 '% of Businesses Reporting\n% des entreprises déclarantes.13😬']",0.9212598425196851
table_0.csv,table_1.csv,JOIN,"% of Businesses Reporting
% des entreprises déclarantes.13","['% of Businesses Reporting\n% des entreprises déclarantes.8😳'
 '% of Businesses Reporting\n% des entreprises déclarantes.8😊']",0.847769028871391
table_0.csv,table_1.csv,JOIN,"% of Businesses Reporting
% des entreprises déclarantes.13","['% of Businesses Reporting\n % des entreprises déclarantes✨'
 '% of Businesses Reporting\n % des entreprises déclarantes🫶']",0.9553805774278216
table_0.csv,table_1.csv,JOIN,"% of Businesses Reporting
% des entreprises déclarantes.13","['Top Quartile Wages and Benefits\nQuart supérieur Salaires et avantages sociaux🤯'
 'Top Quartile Wages and Benefits\nQuart supérieur Salaires et avantages sociaux😬']",0.8871391076115486
table_0.csv,table_1.csv,JOIN,"% of Businesses Reporting
% des entreprises déclarantes.13","['Lower Middle Cost of Sales\n2e quart Coût de ventes (frais direct)✨'
 'Lower Middle Cost of Sales\n2e quart Coût de ventes (frais direct)⭐']",0.8923884514435696
table_0.csv,table_1.csv,JOIN,"% of Businesses Reporting
% des entreprises déclarantes.13","['Top Quartile Amortization and depletion\nQuart supérieur Amortissement et tarissement🙌'
 'Top Quartile Amortization and depletion\nQuart supérieur Amortissement et tarissement😩']",0.8766404199475065
table_0.csv,table_1.csv,JOIN,"% of Businesses Reporting
% des entreprises déclarantes.13","['Top Quartile Closing Inventory\nQuart supérieurs Stock de fermeture😜'
 'Top Quartile Closing Inventory\nQuart supérieurs Stock de fermeture😜']",0.8661417322834646
table_0.csv,table_1.csv,JOIN,"% of Businesses Reporting
% des entreprises déclarantes.13",['Other expenses\nAutres dépenses💩' 'Other expenses\nAutres dépenses👈'],0.9553805774278216
table_0.csv,table_1.csv,JOIN,"% of Businesses Reporting
% des entreprises déclarantes.13","[""Lower Middle Operating Expenses (indirect)\n2e Quart Dépenses d'exploitation (frais indirects)🥰""
 ""Lower Middle Operating Expenses (indirect)\n2e Quart Dépenses d'exploitation (frais indirects)🤔""]",0.9921259842519685
table_0.csv,table_1.csv,JOIN,"% of Businesses Reporting
% des entreprises déclarantes.13","['% of Businesses Reporting\n% des entreprises déclarantes.2❤️'
 '% of Businesses Reporting\n% des entreprises déclarantes.2😎']",0.8136482939632546
table_0.csv,table_1.csv,JOIN,"% of Businesses Reporting
% des entreprises déclarantes.13","['Lower Middle Labour and Commissions\n2e quart Traitements et commissions👏'
 'Lower Middle Labour and Commissions\n2e quart Traitements et commissions😳']",0.8503937007874016
table_0.csv,table_1.csv,JOIN,"Lower Middle Total expenses
2e quart Dépenses totales","['Lower Middle Total expenses\n2e quart Dépenses totales✔️'
 'Lower Middle Total expenses\n2e quart Dépenses totales❌']",0.8359511343804538
table_0.csv,table_1.csv,JOIN,"Bottom Quartile Net Profit/Loss
quart inférieur Bénéfice/perte net","['Bottom Quartile Net Profit/Loss\nquart inférieur Bénéfice/perte net✨'
 'Bottom Quartile Net Profit/Loss\nquart inférieur Bénéfice/perte net🥰']",0.8458681522748375
table_0.csv,table_1.csv,JOIN,"Top Quartile Net Profit/Loss
Quart supérieur Bénéfice/perte net","['Top Quartile Net Profit/Loss\nQuart supérieur Bénéfice/perte net🫂'
 'Top Quartile Net Profit/Loss\nQuart supérieur Bénéfice/perte net😍']",0.8210880538418396
table_0.csv,table_1.csv,JOIN,"Lower Middle Net Profit/Loss
2e quart Bénéfice/perte net","['Lower Middle Net Profit/Loss\n2e quart Bénéfice/perte net❌'
 'Lower Middle Net Profit/Loss\n2e quart Bénéfice/perte net💩']",0.8516746411483254
table_0.csv,table_1.csv,JOIN,"Upper Middle Other expenses
3e quart Autres dépenses","['Top Quartile Purchases, materials and sub-contracts\nquart supérieurs Achats, matériaux et sous-traitances🫂'
 'Top Quartile Purchases, materials and sub-contracts\nquart supérieurs Achats, matériaux et sous-traitances👉']",0.8018461538461539
table_0.csv,table_1.csv,JOIN,"Upper Middle Other expenses
3e quart Autres dépenses","['Top Quartile Net Profit/Loss\nQuart supérieur Bénéfice/perte net🫂'
 'Top Quartile Net Profit/Loss\nQuart supérieur Bénéfice/perte net😍']",0.832
table_0.csv,table_1.csv,JOIN,"Upper Middle Other expenses
3e quart Autres dépenses","['Lower Middle Total expenses\n2e quart Dépenses totales✔️'
 'Lower Middle Total expenses\n2e quart Dépenses totales❌']",0.8486153846153847
table_0.csv,table_1.csv,JOIN,"Upper Middle Other expenses
3e quart Autres dépenses","[""Operating expenses (indirect) \nDépenses d'exploitation (frais indirects)😜""
 ""Operating expenses (indirect) \nDépenses d'exploitation (frais indirects)😊""]",0.808
table_0.csv,table_1.csv,JOIN,"Upper Middle Other expenses
3e quart Autres dépenses","['Top Quartile Other expenses\nQuart supérieur Autres dépenses🔥'
 'Top Quartile Other expenses\nQuart supérieur Autres dépenses😂']",0.8424615384615385
table_0.csv,table_1.csv,JOIN,"Upper Middle Other expenses
3e quart Autres dépenses","[""Lower Middle Operating Expenses (indirect)\n2e Quart Dépenses d'exploitation (frais indirects)🥰""
 ""Lower Middle Operating Expenses (indirect)\n2e Quart Dépenses d'exploitation (frais indirects)🤔""]",0.824
table_0.csv,table_1.csv,JOIN,"Bottom Quartile Interest and bank charges
Quart inférieur Intérêts et frais bancaires","['Lower Middle Amortization and depletion\n2e quart Amortissement et tarissement💀'
 'Lower Middle Amortization and depletion\n2e quart Amortissement et tarissement🫶']",0.9411764705882353
table_0.csv,table_1.csv,JOIN,"Bottom Quartile Interest and bank charges
Quart inférieur Intérêts et frais bancaires","[""Bottom Quartile Operating Expenses (indirect)\nQuart inférieurs Dépenses d'exploitation (frais indirects)😂""
 ""Bottom Quartile Operating Expenses (indirect)\nQuart inférieurs Dépenses d'exploitation (frais indirects)🙌""]",0.9166666666666666
table_0.csv,table_1.csv,JOIN,"Bottom Quartile Interest and bank charges
Quart inférieur Intérêts et frais bancaires","['Top Quartile Purchases, materials and sub-contracts\nquart supérieurs Achats, matériaux et sous-traitances🫂'
 'Top Quartile Purchases, materials and sub-contracts\nquart supérieurs Achats, matériaux et sous-traitances👉']",0.9950980392156863
